project_key,issue_count,resolved_count,min_created,max_created,instance,resolved_with_assignee,distinct_resolvers,top2_share
THORN,2467,2467,2015-04-22T16:14:23.000+0000,2020-10-07T07:13:21.000+0000,RedHat,1593,107,0.345
PROJQUAY,2455,1765,2017-12-01T17:59:41.000+0000,2022-01-04T18:14:32.000+0000,RedHat,1512,41,0.249
TOOLS,2452,2133,2009-07-30T03:20:44.000+0000,2021-12-30T08:27:47.000+0000,MongoDB,1708,66,0.349
RHBRMS,2400,2383,2012-07-23T23:50:00.000+0000,2019-05-30T02:48:15.000+0000,RedHat,2374,72,0.445
COCOON,2364,1955,2001-01-23T23:45:46.000+0000,2020-07-31T12:06:04.000+0000,Apache,500,64,0.252
METRON,2349,1661,2015-12-13T19:00:14.000+0000,2021-01-11T04:03:11.000+0000,Apache,1426,34,0.328
FALCON,2343,1805,2013-04-29T06:26:31.000+0000,2019-07-25T20:14:36.000+0000,Apache,1653,54,0.173
SCB,2326,2000,2017-12-18T01:48:14.000+0000,2022-01-04T09:34:49.000+0000,Apache,1837,59,0.404
DISPATCH,2302,1954,2013-02-28T22:08:15.000+0000,2022-01-04T15:02:03.000+0000,Apache,1763,21,0.432
MAISTRA,2299,2044,2018-08-15T12:51:47.000+0000,2021-12-14T14:32:50.000+0000,RedHat,1894,46,0.488
CXX,2298,1909,2010-02-01T10:00:17.000+0000,2022-01-04T15:57:06.000+0000,MongoDB,1519,44,0.277
STRM,2293,2242,2007-12-10T19:13:57.863-0600,2021-04-25T22:04:08.648-0500,JiraEcosystem,0,0,
DIRSERVER,2278,1876,2004-01-26T02:13:53.000+0000,2022-01-03T07:53:26.000+0000,Apache,1218,24,0.635
IOTDB,2265,1690,2019-01-14T07:42:14.000+0000,2022-01-05T11:22:16.000+0000,Apache,956,75,0.156
JENA,2238,2091,2010-12-08T16:40:04.000+0000,2022-01-04T21:21:38.000+0000,Apache,1838,19,0.841
FH,2235,2191,2015-02-11T11:41:04.000+0000,2019-03-24T10:21:20.000+0000,RedHat,1273,61,0.17
XERCESC,2230,2063,2001-02-22T15:17:34.000+0000,2021-12-20T19:17:45.000+0000,Apache,375,17,0.483
CLOUD,2226,1870,2015-04-22T07:35:13.000+0000,2021-12-20T14:47:37.000+0000,RedHat,1790,87,0.284
ENTMQMAAS,2202,1824,2016-02-04T11:40:26.000+0000,2021-11-24T12:58:21.000+0000,RedHat,1269,36,0.306
EJBTHREE,2190,1764,2004-12-13T11:37:00.000+0000,2014-02-16T08:12:12.000+0000,RedHat,1598,41,0.392
TAJO,2183,1807,2013-03-21T09:21:59.000+0000,2021-03-18T13:31:11.000+0000,Apache,1607,49,0.442
JPOSERVER,2180,920,2014-09-11T11:07:27.000+0000,2022-01-04T22:39:29.000+0000,Jira,158,46,0.209
QTIFW,2178,1728,2010-08-09T05:22:09.000+0000,2022-01-03T15:42:49.000+0000,Qt,1722,37,0.593
ARQ,2168,1706,2009-08-06T08:08:24.000+0000,2021-12-14T14:27:26.000+0000,RedHat,1512,65,0.433
GODRIVER,2161,1882,2017-03-16T19:44:34.000+0000,2022-01-04T15:57:09.000+0000,MongoDB,1414,35,0.467
CRW,2159,1780,2018-05-01T17:31:17.000+0000,2022-01-04T20:53:48.000+0000,RedHat,1741,63,0.307
HOP,2158,1698,2020-09-28T13:43:54.000+0000,2022-01-05T17:57:05.000+0000,Apache,674,15,0.503
ROL,2135,2069,2002-09-03T23:53:47.000+0000,2021-12-22T23:33:14.000+0000,Apache,2059,16,0.79
MAHOUT,2121,2009,2008-01-30T18:10:17.000+0000,2021-12-14T00:17:13.000+0000,Apache,1562,46,0.366
HTTPCLIENT,2116,2063,2001-10-29T09:49:15.000+0000,2022-01-05T16:53:28.000+0000,Apache,299,28,0.324
ELY,2110,1860,2011-09-02T11:18:52.000+0000,2022-01-04T19:36:33.000+0000,RedHat,1741,54,0.474
PARQUET,2092,1601,2014-06-14T03:54:40.000+0000,2021-12-17T00:24:38.000+0000,Apache,1398,196,0.27
TOBAGO,2091,2024,2005-12-01T23:17:58.000+0000,2021-12-16T17:07:49.000+0000,Apache,1776,11,0.745
REEF,2065,1606,2014-09-02T16:57:54.000+0000,2021-05-11T00:54:05.000+0000,Apache,1440,51,0.312
